candidate_index,pair_index,cell_accuracy,note,input,target,pred
0,2,0.0000,ok,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[2,8,2,0,4,4,8,8,4,4,0,0,0,0,0],[8,2,2,0,4,4,8,8,4,4,0,0,0,0,0],[8,8,8,0,8,8,4,4,8,8,0,0,0,0,0],[0,0,0,0,8,8,4,4,8,8,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]","[[4,4,4,4,8,4,4,4,4],[4,4,4,8,4,4,4,4,4],[4,4,4,8,8,8,4,4,4],[4,8,4,4,4,4,4,8,4],[8,4,4,4,4,4,8,4,4],[8,8,8,4,4,4,8,8,8]]","[[0,0,0,0,0,0,0,0,0],[1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1]]"
1,2,0.0000,ok,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[2,8,2,0,4,4,8,8,4,4,0,0,0,0,0],[8,2,2,0,4,4,8,8,4,4,0,0,0,0,0],[8,8,8,0,8,8,4,4,8,8,0,0,0,0,0],[0,0,0,0,8,8,4,4,8,8,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]","[[4,4,4,4,8,4,4,4,4],[4,4,4,8,4,4,4,4,4],[4,4,4,8,8,8,4,4,4],[4,8,4,4,4,4,4,8,4],[8,4,4,4,4,4,8,4,4],[8,8,8,4,4,4,8,8,8]]","[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"
0,1,56.2500,ok,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,2,8,2,2,0,1,1,8,8,1,1,1,1,0,0,0,0],[0,8,8,2,2,0,1,1,8,8,1,1,1,1,0,0,0,0],[0,2,8,8,8,0,8,8,1,1,1,1,8,8,0,0,0,0],[0,2,8,2,2,0,8,8,1,1,1,1,8,8,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]","[[1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1],[1,1,1,1,8,8,1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,8,8,8,1,1,1,1,1,1,1,1],[1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1],[1,8,1,1,1,1,1,1,1,1,1,1,1,8,1,1],[8,8,1,1,1,1,1,1,1,1,1,1,8,8,1,1],[1,8,8,8,1,1,1,1,1,1,1,1,1,8,8,8],[1,8,1,1,1,1,1,1,1,1,1,1,1,8,1,1]]","[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
0,0,0.0000,ok,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,2,8,2,0,3,3,8,3,3,0,0,0,0,0,0,0,0],[0,8,8,8,0,8,3,3,3,8,0,0,0,0,0,0,0,0],[0,2,8,2,0,3,3,8,3,3,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]","[[3,3,3,3,3,3,3,8,3,3,3,3,3,3,3],[3,3,3,3,3,3,8,8,8,3,3,3,3,3,3],[3,3,3,3,3,3,3,8,3,3,3,3,3,3,3],[3,8,3,3,3,3,3,3,3,3,3,3,3,8,3],[8,8,8,3,3,3,3,3,3,3,3,3,8,8,8],[3,8,3,3,3,3,3,3,3,3,3,3,3,8,3],[3,3,3,3,3,3,3,8,3,3,3,3,3,3,3],[3,3,3,3,3,3,8,8,8,3,3,3,3,3,3],[3,3,3,3,3,3,3,8,3,3,3,3,3,3,3]]","[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,1,8,1,0,8,8,8,8,8,0,0,0,0,0],[0,1,1,1,0,1,1,1,1,1,0,0,0,0,0],[0,1,8,1,0,1,1,1,1,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
2,2,27.7778,ok,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[2,8,2,0,4,4,8,8,4,4,0,0,0,0,0],[8,2,2,0,4,4,8,8,4,4,0,0,0,0,0],[8,8,8,0,8,8,4,4,8,8,0,0,0,0,0],[0,0,0,0,8,8,4,4,8,8,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]","[[4,4,4,4,8,4,4,4,4],[4,4,4,8,4,4,4,4,4],[4,4,4,8,8,8,4,4,4],[4,8,4,4,4,4,4,8,4],[8,4,4,4,4,4,8,4,4],[8,8,8,4,4,4,8,8,8]]","[[8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8]]"
1,0,42.9630,ok,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,2,8,2,0,3,3,8,3,3,0,0,0,0,0,0,0,0],[0,8,8,8,0,8,3,3,3,8,0,0,0,0,0,0,0,0],[0,2,8,2,0,3,3,8,3,3,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]","[[3,3,3,3,3,3,3,8,3,3,3,3,3,3,3],[3,3,3,3,3,3,8,8,8,3,3,3,3,3,3],[3,3,3,3,3,3,3,8,3,3,3,3,3,3,3],[3,8,3,3,3,3,3,3,3,3,3,3,3,8,3],[8,8,8,3,3,3,3,3,3,3,3,3,8,8,8],[3,8,3,3,3,3,3,3,3,3,3,3,3,8,3],[3,3,3,3,3,3,3,8,3,3,3,3,3,3,3],[3,3,3,3,3,3,8,8,8,3,3,3,3,3,3],[3,3,3,3,3,3,3,8,3,3,3,3,3,3,3]]","[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,2,8,2,0,3,3,8,3,3,0,0,0,0,0],[0,8,8,8,0,8,3,3,3,8,0,0,0,0,0],[0,2,8,2,0,3,3,8,3,3,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
1,1,32.0312,ok,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,2,8,2,2,0,1,1,8,8,1,1,1,1,0,0,0,0],[0,8,8,2,2,0,1,1,8,8,1,1,1,1,0,0,0,0],[0,2,8,8,8,0,8,8,1,1,1,1,8,8,0,0,0,0],[0,2,8,2,2,0,8,8,1,1,1,1,8,8,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]","[[1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1],[1,1,1,1,8,8,1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,8,8,8,1,1,1,1,1,1,1,1],[1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1],[1,8,1,1,1,1,1,1,1,1,1,1,1,8,1,1],[8,8,1,1,1,1,1,1,1,1,1,1,8,8,1,1],[1,8,8,8,1,1,1,1,1,1,1,1,1,8,8,8],[1,8,1,1,1,1,1,1,1,1,1,1,1,8,1,1]]","[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,2,8,2,2,0,1,1,8,8,1,1,1,1,0,0],[0,8,8,2,2,0,1,1,8,8,1,1,1,1,0,0],[0,2,8,8,8,0,8,8,1,1,1,1,8,8,0,0],[0,2,8,2,2,0,8,8,1,1,1,1,8,8,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]]"
3,2,0.0000,ok,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[2,8,2,0,4,4,8,8,4,4,0,0,0,0,0],[8,2,2,0,4,4,8,8,4,4,0,0,0,0,0],[8,8,8,0,8,8,4,4,8,8,0,0,0,0,0],[0,0,0,0,8,8,4,4,8,8,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]","[[4,4,4,4,8,4,4,4,4],[4,4,4,8,4,4,4,4,4],[4,4,4,8,8,8,4,4,4],[4,8,4,4,4,4,4,8,4],[8,4,4,4,4,4,8,4,4],[8,8,8,4,4,4,8,8,8]]","[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"
4,2,11.1111,ok,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[2,8,2,0,4,4,8,8,4,4,0,0,0,0,0],[8,2,2,0,4,4,8,8,4,4,0,0,0,0,0],[8,8,8,0,8,8,4,4,8,8,0,0,0,0,0],[0,0,0,0,8,8,4,4,8,8,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,4,4,4,4,4,4,4,4,4,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]","[[4,4,4,4,8,4,4,4,4],[4,4,4,8,4,4,4,4,4],[4,4,4,8,8,8,4,4,4],[4,8,4,4,4,4,4,8,4],[8,4,4,4,4,4,8,4,4],[8,8,8,4,4,4,8,8,8]]","[[0,0,0,0,0,0,0,0,0],[0,2,8,2,0,4,4,8,8],[0,8,2,2,0,4,4,8,8],[0,8,8,8,0,8,8,4,4],[0,0,0,0,8,8,4,4,8],[0,0,0,0,0,0,0,0,0]]"
2,0,14.8148,ok,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,2,8,2,0,3,3,8,3,3,0,0,0,0,0,0,0,0],[0,8,8,8,0,8,3,3,3,8,0,0,0,0,0,0,0,0],[0,2,8,2,0,3,3,8,3,3,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]","[[3,3,3,3,3,3,3,8,3,3,3,3,3,3,3],[3,3,3,3,3,3,8,8,8,3,3,3,3,3,3],[3,3,3,3,3,3,3,8,3,3,3,3,3,3,3],[3,8,3,3,3,3,3,3,3,3,3,3,3,8,3],[8,8,8,3,3,3,3,3,3,3,3,3,8,8,8],[3,8,3,3,3,3,3,3,3,3,3,3,3,8,3],[3,3,3,3,3,3,3,8,3,3,3,3,3,3,3],[3,3,3,3,3,3,8,8,8,3,3,3,3,3,3],[3,3,3,3,3,3,3,8,3,3,3,3,3,3,3]]","[[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8]]"
