candidate_index,pair_index,cell_accuracy,note,input,target,pred
1,1,87.3016,ok,"[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,2,0,0,0,0,0],[0,2,0,2,0,2,0,0,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,2,0,0,0,0,0],[0,2,0,2,0,2,0,0,0],[0,8,0,2,0,2,0,2,0],[0,8,0,8,0,8,0,2,0],[0,8,0,8,0,8,0,8,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,2,0,0,0,0,0],[0,2,0,2,0,2,0,0,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0]]"
0,1,84.1270,ok,"[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,2,0,0,0,0,0],[0,2,0,2,0,2,0,0,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,2,0,0,0,0,0],[0,2,0,2,0,2,0,0,0],[0,8,0,2,0,2,0,2,0],[0,8,0,8,0,8,0,2,0],[0,8,0,8,0,8,0,8,0]]","[[0,0,0,0,0,0,0,0,0],[0,8,0,0,0,0,0,0,0],[0,8,0,8,0,0,0,0,0],[0,8,0,8,0,8,0,0,0],[0,8,0,8,0,8,0,8,0],[0,8,0,8,0,8,0,8,0],[0,8,0,8,0,8,0,8,0]]"
2,1,84.1270,ok,"[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,2,0,0,0,0,0],[0,2,0,2,0,2,0,0,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,2,0,0,0,0,0],[0,2,0,2,0,2,0,0,0],[0,8,0,2,0,2,0,2,0],[0,8,0,8,0,8,0,2,0],[0,8,0,8,0,8,0,8,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,8,2,0,0,0,0,0],[0,2,2,2,0,2,0,0,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0]]"
3,1,87.3016,ok,"[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,2,0,0,0,0,0],[0,2,0,2,0,2,0,0,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,2,0,0,0,0,0],[0,2,0,2,0,2,0,0,0],[0,8,0,2,0,2,0,2,0],[0,8,0,8,0,8,0,2,0],[0,8,0,8,0,8,0,8,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,2,0,0,0,0,0],[0,2,0,2,0,2,0,0,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0]]"
4,1,77.7778,ok,"[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,2,0,0,0,0,0],[0,2,0,2,0,2,0,0,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,2,0,0,0,0,0],[0,2,0,2,0,2,0,0,0],[0,8,0,2,0,2,0,2,0],[0,8,0,8,0,8,0,2,0],[0,8,0,8,0,8,0,8,0]]","[[0,0,0,0,0,0,0,0,0],[0,8,0,0,0,0,0,0,0],[0,8,0,8,0,0,0,0,0],[0,8,0,8,0,8,0,0,0],[0,8,0,8,0,8,0,8,0],[0,8,0,8,0,8,0,8,0],[0,2,0,2,0,2,0,2,0]]"
5,1,76.1905,ok,"[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,2,0,0,0,0,0],[0,2,0,2,0,2,0,0,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,2,0,0,0,0,0],[0,2,0,2,0,2,0,0,0],[0,8,0,2,0,2,0,2,0],[0,8,0,8,0,8,0,2,0],[0,8,0,8,0,8,0,8,0]]","[[0,0,0,0,0,0,0,0,0],[0,8,0,0,0,0,0,0,0],[0,8,0,0,0,0,0,0,0],[0,8,0,0,0,0,0,0,0],[0,8,0,0,0,0,0,0,0],[0,8,0,0,0,0,0,0,0],[0,8,0,0,0,0,0,0,0]]"
2,0,80.5556,ok,"[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,8,0,2,0,2,0,8,0],[0,8,0,8,0,2,0,8,0],[0,8,0,8,0,8,0,8,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,2,0],[0,2,0,2,8,0,0,2,0],[0,2,0,2,2,0,0,2,0],[0,2,0,2,2,2,0,2,0],[0,2,0,2,2,2,0,2,0],[0,2,0,2,2,2,0,2,0]]"
1,0,81.9444,ok,"[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,8,0,2,0,2,0,8,0],[0,8,0,8,0,2,0,8,0],[0,8,0,8,0,8,0,8,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,8,8,8,8],[0,2,0,2,0,8,8,8,8],[0,2,0,2,0,8,8,8,8]]"
0,0,83.3333,ok,"[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,8,0,2,0,2,0,8,0],[0,8,0,8,0,2,0,8,0],[0,8,0,8,0,8,0,8,0]]","[[0,0,0,0,0,0,0,0,0],[0,8,0,0,0,0,0,0,0],[0,8,0,0,0,0,0,8,0],[0,8,0,8,0,0,0,8,0],[0,8,0,8,0,0,0,8,0],[0,8,0,8,0,8,0,8,0],[0,8,0,8,0,8,0,8,0],[0,8,0,8,0,8,0,8,0]]"
3,0,87.5000,ok,"[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,8,0,2,0,2,0,8,0],[0,8,0,8,0,2,0,8,0],[0,8,0,8,0,8,0,8,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0]]"
4,0,83.3333,ok,"[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,8,0,2,0,2,0,8,0],[0,8,0,8,0,2,0,8,0],[0,8,0,8,0,8,0,8,0]]","[[0,0,0,0,0,0,0,0,0],[0,8,0,0,0,0,0,0,0],[0,8,0,0,0,0,0,8,0],[0,8,0,8,0,0,0,8,0],[0,8,0,8,0,0,0,8,0],[0,8,0,8,0,8,0,8,0],[0,8,0,8,0,8,0,8,0],[0,8,0,8,0,8,0,8,0]]"
5,0,80.5556,ok,"[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0],[0,2,0,2,0,2,0,2,0]]","[[0,0,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,0,0],[0,2,0,0,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,2,0,2,0,0,0,2,0],[0,8,0,2,0,2,0,8,0],[0,8,0,8,0,2,0,8,0],[0,8,0,8,0,8,0,8,0]]","[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,8,0],[0,0,0,8,0,0,0,8,0],[0,0,0,8,0,0,0,8,0],[0,0,0,8,0,2,0,8,0],[0,0,0,8,0,2,0,8,0],[0,0,0,8,0,2,0,8,0]]"
